query	raw_translation	translation
artemisia dracunculus	"['""artemisia""[MeSH Terms] OR ""artemisia""[All Fields] OR (""artemisia""[All Fields] AND ""dracunculus""[All Fields]) OR ""artemisia dracunculus""[All Fields]', '""artemisia""[MeSH Terms] OR ""artemisia""[All Fields] OR (""artemisia""[All Fields] AND ""dracunculus""[All Fields]) OR ""artemisia dracunculus""[All Fields]']"	['artemisia', 'artemisia dracunculus']
artemisia vulgaris	"['""artemisia""[MeSH Terms] OR ""artemisia""[All Fields] OR (""artemisia""[All Fields] AND ""vulgaris""[All Fields]) OR ""artemisia vulgaris""[All Fields]', '""artemisia""[MeSH Terms] OR ""artemisia""[All Fields] OR (""artemisia""[All Fields] AND ""vulgaris""[All Fields]) OR ""artemisia vulgaris""[All Fields]']"	['artemisia', 'artemisia vulgaris']
artocarpus altilis	"['(""artocarpus""[MeSH Terms] OR ""artocarpus""[All Fields]) AND ""altilis""[All Fields]', '(""artocarpus""[MeSH Terms] OR ""artocarpus""[All Fields]) AND altilis[All Fields]']"	['artocarpus altilis']
artocarpus heterophyllus	"['(""artocarpus""[MeSH Terms] OR ""artocarpus""[All Fields]) AND ""heterophyllus""[All Fields]', '(""artocarpus""[MeSH Terms] OR ""artocarpus""[All Fields]) AND heterophyllus[All Fields]']"	['artocarpus heterophyllus']
asian pear	"['(""asian""[MeSH Terms] OR ""asian""[All Fields] OR ""asian people""[MeSH Terms] OR (""asian""[All Fields] AND ""people""[All Fields]) OR ""asian people""[All Fields] OR ""asians""[All Fields]) AND (""pyrus""[MeSH Terms] OR ""pyrus""[All Fields] OR ""pear""[All Fields])', '(""asian""[MeSH Terms] OR ""asian""[All Fields] OR ""asian people""[MeSH Terms] OR (""asian""[All Fields] AND ""people""[All Fields]) OR ""asian people""[All Fields]) AND (""pyrus""[MeSH Terms] OR ""pyrus""[All Fields] OR ""pear""[All Fields])']"	['asian pear', 'asian people pear', 'asian people pyrus', 'asian pyrus', 'asians pear', 'asians pyrus']
asparagus	"['""asparagus plant""[MeSH Terms] OR (""asparagus""[All Fields] AND ""plant""[All Fields]) OR ""asparagus plant""[All Fields] OR ""asparagus""[All Fields]', '""asparagus plant""[MeSH Terms] OR (""asparagus""[All Fields] AND ""plant""[All Fields]) OR ""asparagus plant""[All Fields] OR ""asparagus""[All Fields]']"	['asparagus', 'asparagus plant']
asparagus officinalis	"['""asparagus plant""[MeSH Terms] OR (""asparagus""[All Fields] AND ""plant""[All Fields]) OR ""asparagus plant""[All Fields] OR (""asparagus""[All Fields] AND ""officinalis""[All Fields]) OR ""asparagus officinalis""[All Fields]', '""asparagus plant""[MeSH Terms] OR (""asparagus""[All Fields] AND ""plant""[All Fields]) OR ""asparagus plant""[All Fields] OR (""asparagus""[All Fields] AND ""officinalis""[All Fields]) OR ""asparagus officinalis""[All Fields]']"	['asparagus officinalis', 'asparagus plant']
astacidea	"['""astacidea""[All Fields]', 'astacidea[All Fields]']"	['astacidea']
atlantic cod	"['""gadus morhua""[MeSH Terms] OR (""gadus""[All Fields] AND ""morhua""[All Fields]) OR ""gadus morhua""[All Fields] OR (""atlantic""[All Fields] AND ""cod""[All Fields]) OR ""atlantic cod""[All Fields]', '""gadus morhua""[MeSH Terms] OR (""gadus""[All Fields] AND ""morhua""[All Fields]) OR ""gadus morhua""[All Fields] OR (""atlantic""[All Fields] AND ""cod""[All Fields]) OR ""atlantic cod""[All Fields]']"	['atlantic cod', 'gadus morhua']
atlantic croaker	"['(""atlantic""[All Fields] OR ""atlantic s""[All Fields]) AND (""perciformes""[MeSH Terms] OR ""perciformes""[All Fields] OR ""croaker""[All Fields] OR ""croakers""[All Fields])', '""atlantic""[All Fields] AND (""perciformes""[MeSH Terms] OR ""perciformes""[All Fields] OR ""croaker""[All Fields])']"	['atlantic croaker', 'atlantic croakers', 'atlantic perciformes', 'atlantic s croaker', 'atlantic s croakers', 'atlantic s perciformes']
atlantic halibut	"['(""atlantic""[All Fields] OR ""atlantic s""[All Fields]) AND (""flounder""[MeSH Terms] OR ""flounder""[All Fields] OR ""halibut""[All Fields])', '""atlantic""[All Fields] AND (""flounder""[MeSH Terms] OR ""flounder""[All Fields] OR ""halibut""[All Fields])']"	['atlantic flounder', 'atlantic halibut', 'atlantic s flounder', 'atlantic s halibut']
atlantic herring	"['(""atlantic""[All Fields] OR ""atlantic s""[All Fields]) AND (""herring""[All Fields] OR ""herrings""[All Fields])', '""atlantic""[All Fields] AND herring[All Fields]']"	['atlantic herring', 'atlantic herrings', 'atlantic s herring', 'atlantic s herrings']
atlantic mackerel	"['(""atlantic""[All Fields] OR ""atlantic s""[All Fields]) AND (""perciformes""[MeSH Terms] OR ""perciformes""[All Fields] OR ""mackerel""[All Fields] OR ""mackerels""[All Fields])', '""atlantic""[All Fields] AND (""perciformes""[MeSH Terms] OR ""perciformes""[All Fields] OR ""mackerel""[All Fields])']"	['atlantic mackerel', 'atlantic mackerels', 'atlantic perciformes', 'atlantic s mackerel', 'atlantic s mackerels', 'atlantic s perciformes']
atlantic menhaden	"['(""atlantic""[All Fields] OR ""atlantic s""[All Fields]) AND ""menhaden""[All Fields]', '""atlantic""[All Fields] AND menhaden[All Fields]']"	['atlantic menhaden', 'atlantic s menhaden']
atlantic pollock	"['(""atlantic""[All Fields] OR ""atlantic s""[All Fields]) AND ""pollock""[All Fields]', '""atlantic""[All Fields] AND pollock[All Fields]']"	['atlantic pollock', 'atlantic s pollock']
atlantic salmon	"['""salmo salar""[MeSH Terms] OR (""salmo""[All Fields] AND ""salar""[All Fields]) OR ""salmo salar""[All Fields] OR (""atlantic""[All Fields] AND ""salmon""[All Fields]) OR ""atlantic salmon""[All Fields]', '""salmo salar""[MeSH Terms] OR (""salmo""[All Fields] AND ""salar""[All Fields]) OR ""salmo salar""[All Fields] OR (""atlantic""[All Fields] AND ""salmon""[All Fields]) OR ""atlantic salmon""[All Fields]']"	['atlantic salmon', 'salmo salar']
atlantic wolffish	"['(""atlantic""[All Fields] OR ""atlantic s""[All Fields]) AND ""wolffish""[All Fields]', '""atlantic""[All Fields] AND wolffish[All Fields]']"	['atlantic s wolffish', 'atlantic wolffish']
attalea speciosa	"['""attalea""[All Fields] AND ""speciosa""[All Fields]', 'attalea[All Fields] AND speciosa[All Fields]']"	['attalea speciosa']
auricularia auricula-judae	"['""auricularia auricula judae""[Supplementary Concept] OR ""auricularia auricula judae""[All Fields] OR ""auricularia auricula judae""[All Fields]', '""Auricularia auricula-judae""[All Fields] OR ""auricularia auricula judae""[All Fields]']"	['Auricularia auricula-judae', 'auricularia auricula judae']
auricularia polytricha	"['""auricularia polytricha""[Supplementary Concept] OR ""auricularia polytricha""[All Fields] OR ""auricularia polytricha""[All Fields]', '""Auricularia polytricha""[All Fields] OR ""auricularia polytricha""[All Fields]']"	['Auricularia polytricha', 'auricularia polytricha']
avena sativa	"['""avena""[MeSH Terms] OR ""avena""[All Fields] OR (""avena""[All Fields] AND ""sativa""[All Fields]) OR ""avena sativa""[All Fields]', '""avena""[MeSH Terms] OR ""avena""[All Fields] OR (""avena""[All Fields] AND ""sativa""[All Fields]) OR ""avena sativa""[All Fields]']"	['avena', 'avena sativa']
averrhoa carambola	"['""averrhoa""[MeSH Terms] OR ""averrhoa""[All Fields] OR (""averrhoa""[All Fields] AND ""carambola""[All Fields]) OR ""averrhoa carambola""[All Fields]', '""averrhoa""[MeSH Terms] OR ""averrhoa""[All Fields] OR (""averrhoa""[All Fields] AND ""carambola""[All Fields]) OR ""averrhoa carambola""[All Fields]']"	['averrhoa', 'averrhoa carambola']
avocado	"['""persea""[MeSH Terms] OR ""persea""[All Fields] OR ""avocado""[All Fields] OR ""avocados""[All Fields]', '""persea""[MeSH Terms] OR ""persea""[All Fields] OR ""avocado""[All Fields]']"	['avocado', 'avocados', 'persea']
babassu palm	"['""babassu""[All Fields] AND ""palm""[All Fields]', 'babassu[All Fields] AND palm[All Fields]']"	['babassu palm']
bamboo shoots	"['(""bamboo""[All Fields] OR ""bamboos""[All Fields]) AND (""shoot""[All Fields] OR ""shoot s""[All Fields] OR ""shoots""[All Fields])', 'bamboo[All Fields] AND shoots[All Fields]']"	['bamboo shoot', 'bamboo shoot s', 'bamboo shoots', 'bamboos shoot', 'bamboos shoot s', 'bamboos shoots']
banana	"['""banana s""[All Fields] OR ""musa""[MeSH Terms] OR ""musa""[All Fields] OR ""banana""[All Fields] OR ""bananas""[All Fields]', '""musa""[MeSH Terms] OR ""musa""[All Fields] OR ""banana""[All Fields]']"	['banana', 'banana s', 'bananas', 'musa']
barley	"['""barley s""[All Fields] OR ""hordeum""[MeSH Terms] OR ""hordeum""[All Fields] OR ""barley""[All Fields] OR ""barleys""[All Fields]', '""hordeum""[MeSH Terms] OR ""hordeum""[All Fields] OR ""barley""[All Fields]']"	['barley', 'barley s', 'barleys', 'hordeum']
basella alba	"['""basella""[All Fields] AND ""alba""[All Fields]', 'basella[All Fields] AND alba[All Fields]']"	['basella alba']
bass	"['""bass""[MeSH Terms] OR ""bass""[All Fields]', '""bass""[MeSH Terms] OR ""bass""[All Fields]']"	['bass']
bayberry	"['""myrica""[MeSH Terms] OR ""myrica""[All Fields] OR ""bayberries""[All Fields] OR ""bayberry""[All Fields]', '""myrica""[MeSH Terms] OR ""myrica""[All Fields] OR ""bayberry""[All Fields]']"	['bayberries', 'bayberry', 'myrica']
bean	"['""bean""[All Fields]', 'bean[All Fields]']"	['bean']
beech nut	"['(""fagaceae""[MeSH Terms] OR ""fagaceae""[All Fields] OR ""beeches""[All Fields] OR ""fagus""[MeSH Terms] OR ""fagus""[All Fields] OR ""beech""[All Fields]) AND (""nuts""[MeSH Terms] OR ""nuts""[All Fields] OR ""nut""[All Fields])', '(""fagus""[MeSH Terms] OR ""fagus""[All Fields] OR ""beech""[All Fields]) AND (""nuts""[MeSH Terms] OR ""nuts""[All Fields] OR ""nut""[All Fields])']"	['beech nut', 'beech nuts', 'beeches nut', 'beeches nuts', 'fagaceae nut', 'fagaceae nuts', 'fagus nut', 'fagus nuts']
beef	"['""red meat""[MeSH Terms] OR (""red""[All Fields] AND ""meat""[All Fields]) OR ""red meat""[All Fields] OR ""beef""[All Fields]', '""red meat""[MeSH Terms] OR (""red""[All Fields] AND ""meat""[All Fields]) OR ""red meat""[All Fields] OR ""beef""[All Fields]']"	['beef', 'red meat']
beefalo	"['""beefalo""[All Fields]', 'beefalo[All Fields]']"	['beefalo']
beet	"['""beta vulgaris""[MeSH Terms] OR (""beta""[All Fields] AND ""vulgaris""[All Fields]) OR ""beta vulgaris""[All Fields] OR ""beet""[All Fields]', '""beta vulgaris""[MeSH Terms] OR (""beta""[All Fields] AND ""vulgaris""[All Fields]) OR ""beta vulgaris""[All Fields] OR ""beet""[All Fields]']"	['beet', 'beta vulgaris']
belone belone	"['""belone""[All Fields] AND ""belone""[All Fields]', 'belone[All Fields] AND belone[All Fields]']"	['belone belone']
benincasa hispida	"['""benincasa""[All Fields] AND ""hispida""[All Fields]', 'benincasa[All Fields] AND hispida[All Fields]']"	['benincasa hispida']
bertholletia excelsa	"['""bertholletia""[MeSH Terms] OR ""bertholletia""[All Fields] OR (""bertholletia""[All Fields] AND ""excelsa""[All Fields]) OR ""bertholletia excelsa""[All Fields]', '""bertholletia""[MeSH Terms] OR ""bertholletia""[All Fields] OR (""bertholletia""[All Fields] AND ""excelsa""[All Fields]) OR ""bertholletia excelsa""[All Fields]']"	['bertholletia', 'bertholletia excelsa']
beta vulgaris	"['""beta vulgaris""[MeSH Terms] OR (""beta""[All Fields] AND ""vulgaris""[All Fields]) OR ""beta vulgaris""[All Fields]', '""beta vulgaris""[MeSH Terms] OR (""beta""[All Fields] AND ""vulgaris""[All Fields]) OR ""beta vulgaris""[All Fields]']"	['beta vulgaris']
beta vulgaris ssp. cicla	"['(""beta vulgaris""[MeSH Terms] OR (""beta""[All Fields] AND ""vulgaris""[All Fields]) OR ""beta vulgaris""[All Fields]) AND (""sleep sci pract""[Journal] OR ""ieee stat signal processing workshop""[Journal] OR ""ssp""[All Fields]) AND ""cicla""[All Fields]', '(""beta vulgaris""[MeSH Terms] OR (""beta""[All Fields] AND ""vulgaris""[All Fields]) OR ""beta vulgaris""[All Fields]) AND ""ssp""[All Fields] AND cicla[All Fields]']"	['beta vulgaris ieee stat signal processing workshop cicla', 'beta vulgaris sleep sci pract cicla', 'beta vulgaris ssp cicla']
beta vulgaris var. rubra	"['(""beta vulgaris""[MeSH Terms] OR (""beta""[All Fields] AND ""vulgaris""[All Fields]) OR ""beta vulgaris""[All Fields]) AND ""var""[All Fields] AND (""rubra""[All Fields] OR ""rubrae""[All Fields])', '(""beta vulgaris""[MeSH Terms] OR (""beta""[All Fields] AND ""vulgaris""[All Fields]) OR ""beta vulgaris""[All Fields]) AND var.[All Fields] AND rubra[All Fields]']"	['beta vulgaris var rubra', 'beta vulgaris var rubrae', 'beta vulgaris var. rubra']
bilberry	"['""vaccinium myrtillus""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""myrtillus""[All Fields]) OR ""vaccinium myrtillus""[All Fields] OR ""bilberries""[All Fields] OR ""bilberry""[All Fields]', '""vaccinium myrtillus""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""myrtillus""[All Fields]) OR ""vaccinium myrtillus""[All Fields] OR ""bilberry""[All Fields]']"	['bilberries', 'bilberry', 'vaccinium myrtillus']
bison	"['""bison""[MeSH Terms] OR ""bison""[All Fields] OR ""bisons""[All Fields] OR ""bison s""[All Fields]', '""bison""[MeSH Terms] OR ""bison""[All Fields]']"	['bison', 'bison s', 'bisons']
bison bison	"['(""bison""[MeSH Terms] OR ""bison""[All Fields] OR ""bisons""[All Fields] OR ""bison s""[All Fields]) AND (""bison""[MeSH Terms] OR ""bison""[All Fields] OR ""bisons""[All Fields] OR ""bison s""[All Fields])', '(""bison""[MeSH Terms] OR ""bison""[All Fields]) AND (""bison""[MeSH Terms] OR ""bison""[All Fields])']"	['bison bison', 'bison bison s', 'bison bisons', 'bison s bison', 'bison s bison s', 'bison s bisons', 'bisons bison', 'bisons bison s', 'bisons bisons']
bitter gourd	"['""momordica charantia""[MeSH Terms] OR (""momordica""[All Fields] AND ""charantia""[All Fields]) OR ""momordica charantia""[All Fields] OR (""bitter""[All Fields] AND ""gourd""[All Fields]) OR ""bitter gourd""[All Fields]', '""momordica charantia""[MeSH Terms] OR (""momordica""[All Fields] AND ""charantia""[All Fields]) OR ""momordica charantia""[All Fields] OR (""bitter""[All Fields] AND ""gourd""[All Fields]) OR ""bitter gourd""[All Fields]']"	['bitter gourd', 'momordica charantia']
bivalvia	"['""bivalvia""[MeSH Terms] OR ""bivalvia""[All Fields]', '""bivalvia""[MeSH Terms] OR ""bivalvia""[All Fields]']"	['bivalvia']
black cabbage	"['(""black or african american""[MeSH Terms] OR (""black""[All Fields] AND ""or""[All Fields] AND ""african""[All Fields] AND ""american""[All Fields]) OR ""black or african american""[All Fields] OR ""blacks""[All Fields] OR ""black people""[MeSH Terms] OR (""black""[All Fields] AND ""people""[All Fields]) OR ""black people""[All Fields] OR ""black""[All Fields] OR ""blackness""[All Fields]) AND (""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cabbage""[All Fields] OR ""cabbages""[All Fields])', '(""black people""[MeSH Terms] OR (""black""[All Fields] AND ""people""[All Fields]) OR ""black people""[All Fields] OR ""black""[All Fields] OR ""black or african american""[MeSH Terms] OR (""black""[All Fields] AND ""or""[All Fields] AND ""african""[All Fields] AND ""american""[All Fields]) OR ""black or african american""[All Fields]) AND (""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cabbage""[All Fields])']"	['black brassica', 'black cabbage', 'black cabbages', 'black or african american brassica', 'black or african american cabbage', 'black or african american cabbages', 'black people brassica', 'black people cabbage', 'black people cabbages', 'blackness brassica', 'blackness cabbage', 'blackness cabbages', 'blacks brassica', 'blacks cabbage', 'blacks cabbages']
black chokeberry	"['""photinia""[MeSH Terms] OR ""photinia""[All Fields] OR (""black""[All Fields] AND ""chokeberry""[All Fields]) OR ""black chokeberry""[All Fields]', '""photinia""[MeSH Terms] OR ""photinia""[All Fields] OR (""black""[All Fields] AND ""chokeberry""[All Fields]) OR ""black chokeberry""[All Fields]']"	['black chokeberry', 'photinia']
black crowberry	"['(""black or african american""[MeSH Terms] OR (""black""[All Fields] AND ""or""[All Fields] AND ""african""[All Fields] AND ""american""[All Fields]) OR ""black or african american""[All Fields] OR ""blacks""[All Fields] OR ""black people""[MeSH Terms] OR (""black""[All Fields] AND ""people""[All Fields]) OR ""black people""[All Fields] OR ""black""[All Fields] OR ""blackness""[All Fields]) AND (""crowberries""[All Fields] OR ""crowberry""[All Fields])', '(""black people""[MeSH Terms] OR (""black""[All Fields] AND ""people""[All Fields]) OR ""black people""[All Fields] OR ""black""[All Fields] OR ""black or african american""[MeSH Terms] OR (""black""[All Fields] AND ""or""[All Fields] AND ""african""[All Fields] AND ""american""[All Fields]) OR ""black or african american""[All Fields]) AND crowberry[All Fields]']"	['black crowberries', 'black crowberry', 'black or african american crowberries', 'black or african american crowberry', 'black people crowberries', 'black people crowberry', 'blackness crowberries', 'blackness crowberry', 'blacks crowberries', 'blacks crowberry']
black elderberry	"['""sambucus nigra""[MeSH Terms] OR (""sambucus""[All Fields] AND ""nigra""[All Fields]) OR ""sambucus nigra""[All Fields] OR (""black""[All Fields] AND ""elderberry""[All Fields]) OR ""black elderberry""[All Fields]', '""sambucus nigra""[MeSH Terms] OR (""sambucus""[All Fields] AND ""nigra""[All Fields]) OR ""sambucus nigra""[All Fields] OR (""black""[All Fields] AND ""elderberry""[All Fields]) OR ""black elderberry""[All Fields]']"	['black elderberry', 'sambucus nigra']
black huckleberry	"['(""black or african american""[MeSH Terms] OR (""black""[All Fields] AND ""or""[All Fields] AND ""african""[All Fields] AND ""american""[All Fields]) OR ""black or african american""[All Fields] OR ""blacks""[All Fields] OR ""black people""[MeSH Terms] OR (""black""[All Fields] AND ""people""[All Fields]) OR ""black people""[All Fields] OR ""black""[All Fields] OR ""blackness""[All Fields]) AND (""huckleberry plant""[MeSH Terms] OR (""huckleberry""[All Fields] AND ""plant""[All Fields]) OR ""huckleberry plant""[All Fields] OR ""huckleberry""[All Fields])', '(""black people""[MeSH Terms] OR (""black""[All Fields] AND ""people""[All Fields]) OR ""black people""[All Fields] OR ""black""[All Fields] OR ""black or african american""[MeSH Terms] OR (""black""[All Fields] AND ""or""[All Fields] AND ""african""[All Fields] AND ""american""[All Fields]) OR ""black or african american""[All Fields]) AND ((""huckleberry""[All Fields] AND ""plant""[All Fields]) OR ""huckleberry plant""[All Fields] OR ""huckleberry""[All Fields])']"	['black huckleberry', 'black huckleberry plant', 'black or african american huckleberry', 'black or african american huckleberry plant', 'black people huckleberry', 'black people huckleberry plant', 'blackness huckleberry', 'blackness huckleberry plant', 'blacks huckleberry', 'blacks huckleberry plant']
